Date,close,high,low,open,volume,symbol
2022-08-19,3373.181396484375,3427.3742528054736,3355.213907508312,3409.455240886044,581829,ASIANPAINT
2022-08-22,3244.55224609375,3376.0875408007983,3228.5219458927636,3353.374027330988,2336567,ASIANPAINT
2022-08-23,3251.186767578125,3277.6777046150655,3212.685108085989,3228.327826095305,831446,ASIANPAINT
2022-08-24,3272.738525390625,3278.695292262805,3198.301877415593,3234.7211575261304,1182154,ASIANPAINT
2022-08-25,3256.901611328125,3298.2121052065922,3245.9564374288216,3269.00905226243,615392,ASIANPAINT
2022-08-26,3219.175048828125,3278.210886759609,3201.8370505773732,3273.2227154110997,1384783,ASIANPAINT
2022-08-29,3238.256103515625,3243.1960339318,3135.052231251342,3145.028809725636,1031166,ASIANPAINT
2022-08-30,3285.08837890625,3302.668291499406,3226.391400831299,3226.391400831299,1426459,ASIANPAINT
2022-09-01,3338.31201171875,3365.287247591918,3210.893259075237,3210.893259075237,1417762,ASIANPAINT
2022-09-02,3323.299072265625,3379.429124648017,3317.4390231927364,3379.429124648017,740821,ASIANPAINT
2022-09-05,3317.245361328125,3341.6539165543495,3298.59990106909,3317.487510162658,518438,ASIANPAINT
2022-09-06,3288.623291015625,3326.689134742662,3277.7265935636183,3312.5960254100396,540937,ASIANPAINT
2022-09-07,3293.56298828125,3327.1247194646344,3279.6150746474577,3285.4751232675517,682921,ASIANPAINT
2022-09-08,3341.798828125,3375.21536445926,3319.76328604951,3341.653633425971,1143090,ASIANPAINT
2022-09-09,3333.759765625,3374.295336288782,3325.623423372897,3374.295336288782,702805,ASIANPAINT
2022-09-12,3324.41259765625,3345.1889186484304,3315.501568576152,3333.7596837812675,641280,ASIANPAINT
2022-09-13,3314.726806640625,3350.3711611718377,3307.4138647906134,3324.219087927652,776044,ASIANPAINT
2022-09-14,3330.95068359375,3340.200815792259,3273.852039257021,3273.852039257021,816678,ASIANPAINT
2022-09-15,3288.768310546875,3350.128915964255,3282.666349477552,3331.967754511612,590182,ASIANPAINT
2022-09-16,3218.20654296875,3312.596112987094,3205.6148033579802,3305.2346937021766,1598265,ASIANPAINT
